id_medicao;data_medicao;id_projeto
380199;2025-11-07;33288
377835;2025-10-31;33288
375054;2025-10-24;33288
373541;2025-10-20;33288
369954;2025-10-09;33288
366927;2025-10-02;33288
364081;2025-09-26;33288
364079;2025-09-25;33288
361827;2025-09-19;33288
359838;2025-09-12;33288
357613;2025-09-08;33288
354499;2025-08-29;33288
348920;2025-08-22;33288
348919;2025-08-15;33288
447025;2026-04-17;35103
443535;2026-04-10;35103
440940;2026-04-02;35103
438779;2026-03-27;35103
435582;2026-03-20;35103
433358;2026-03-13;35103
421875;2026-03-06;35103
418390;2026-02-27;35103
415931;2026-02-20;35103
413665;2026-02-13;35103
447197;2026-04-17;35125
444244;2026-04-11;35125
441260;2026-04-03;35125
438361;2026-03-27;35125
435613;2026-03-20;35125
433784;2026-03-13;35125
449801;2026-04-24;35482
447137;2026-04-17;35482
443243;2026-04-10;35482
440591;2026-04-03;35482
438226;2026-03-27;35482
435986;2026-03-20;35482
435982;2026-03-13;35482
421713;2026-03-06;35482
418231;2026-02-27;35482
416217;2026-02-20;35482
414375;2026-02-13;35482
411731;2026-02-06;35482
408182;2026-01-30;35482
402406;2026-01-23;35482
400365;2026-01-16;35482
397690;2026-01-09;35482
394124;2025-12-26;35482
393543;2025-12-19;35482
390254;2025-12-12;35482
389081;2025-12-05;35482
447117;2026-04-17;35681
444089;2026-04-10;35681
444087;2026-04-03;35681
444086;2026-03-27;35681
444085;2026-03-20;35681
444083;2026-03-13;35681
422770;2026-03-06;35681
418287;2026-02-27;35681
415407;2026-02-20;35681
414502;2026-02-13;35681
411735;2026-02-06;35681
410261;2026-01-30;35681
